Date,Time,Duration (s),Words (Classes),Train Accuracy,Val Accuracy,Epochs,Batch Size,Augmented,Model Saved As
2026-03-12,14:02:57,918.01,63,0.9969,0.9691,100,16,No,action_model_baseline.h5
2026-03-12,15:15:45,4259.44,63,0.9976,0.9973,143,16,Yes,action_model_augmented.h5
